id,pnm
ROSENILDE,0
ZULMIRA,0
JANDIRA,0
VERONICA,0
LEVINA,0
ROSARIA,0
MARICELIA,0
LEILA,0
DILZA,0
JOSELMA,0
DALGIZA,0
SALVIANA,0
VICENTINA,0
DEUSA,0
BENILDA,0
GENY,0
ELIZA,0
BRASILINA,0
NEUMA,0
FRANCILEIDE,0
JUCILENE,0
NILVA,0
SIRLEY,0
LUCILIA,0
LUZIENE,0
ELENITA,0
POLYANA,0
ALDAIRES,0
EDIT,0
ALBINA,0
NAIZA,0
GESSY,0
LEIDIANE,0
LUZENIR,0
VANESSA,0
MARIETA,0
DULCINEIA,0
MARIZETE,0
LILIANE,0
SIMIANA,0
VIRGINIA,0
ALCIDIA,0
DEBORA,0
LUCELIA,0
CASSIA,0
SIRLENE,0
ROSINA,0
AFRA,0
JORDANA,0
LORENA,0
ADILINA,0
OZANA,0
IRANI,0
TOMAZIA,0
BELMIRA,0
GISELE,0
LUCINEIDE,0
SHIRLENE,0
JARDELINA,0
DILMA,0
LEONILDE,0
ALEXSANDRA,0
IRANY,0
VITURINA,0
IRENILDES,0
EDILMA,0
LEONIDIA,0
IRENILDE,0
ANICETA,0
MONICA,0
NATALIA,0
SOFIA,0
ESTELITA,0
ELDINA,0
MERCIA,0
CLOTILDE,0
MARCIVANIA,0
WANIA,0
ARMINDA,0
GENECI,0
EUZEBIA,0
SATURNINA,0
ESMERALDA,0
LEOPOLDINA,0
GRACIANA,0
PERCILIA,0
LEONIZIA,0
SEBASTIAO,0
GERMANA,0
CLEIA,0
SUZANA,0
ELIDIA,0
LEILIANE,0
LEOCADIA,0
BERNADINA,0
CARMELIA,0
IRISMAR,0
HOSANA,0
MARGARETE,0
PETROLINA,0
SELINA,0
JOSELITA,0
LUZIANA,0
JOVENTINA,0
JUCELINA,0
AMANDA,0
IRACILDA,0
OSVALDINA,0
SOCORO,0
GENOVEVA,0
ISAURINA,0
DEUSUITA,0
APOLONIA,0
FLORENCA,0
ROSICLEIA,0
BELARMINA,0
DOMINGOS,0
DOMICILIA,0
BERTULINA,0
RAQUEL,0
BERNALDINA,0
MARCULINA,0
BENIGNA,0
ROSENA,0
PRUDENCIA,0
LAURENCA,0
EULINA,0
ELEUZA,0
ABIGAIL,0
ANESIA,0
TERTULIANA,0
ILIDIA,0
IRENI,0
NOEMIA,0
